Ring Name,Real Name,Notes
Billie Starkz,Lillian Bridget,[141]
Deonna Purrazzo[142],Deonna Purrazzo,
Diamanté[143],Priscilla Zuniga,
"Dr. Britt Baker, D.M.D.[144]",Brittany Baker,
Emi Sakura,Emi Motokawa,
Harley Cameron,Dannielle Vidot,
Hikaru Shida[145],Hikaru Shida,
Jamie Hayter[146],Paige Wooding,Inactive; shoulder injury
Julia Hart,Julia Hart,TBS Champion
Kiera Hogan[147],Kiera Hogan,
Kris Statlander[148],Kristen Stadtlander,
Leila Grey[149],Catherine Guzman,
Leyla Hirsch[150],Leyla Hirsch,
Madison Rayne,Ashley Lomberger,Coach
Mariah May[151],Mariah Mead,
Marina Shafir[152],Marina Shafir,
Megan Bayne[153],Megan Doheny,
Mercedes Martinez[154],Jazmin Benitez,
Nyla Rose[48],Brandi Degroat[155],
Paige VanZant[156],Paige VanZant,Inactive; broken foot[157]
Penelope Ford[108],Olivia Hasler,
Queen Aminata[158],Undisclosed,
Rebel,Tanea Brooks,[159]
Red Velvet[160],Stephanie Cardona[161],
Riho[162],Undisclosed,
Ruby Soho[163],Dori Prange,
Saraya[164],Saraya Bevis,
Serena Deeb[165],Serena Deeb,Coach[166]
Skye Blue[167],Skye Dolecki,
Tay Melo[168],Taynara Guevara,Inactive; maternity leave
Taya Valkyrie,Kira Magnin-Forster,[169]
Thunder Rosa[170],Melissa Cervantes,
Toni Storm[171],Toni Rossall,Women's World Champion
Willow Nightingale[172],Danielle Paultre,
Yuka Sakazaki,Yuka Sakazaki,
,,
Alex Abrahantes,Alex Abrahantes,Manager of Death Triangle and KomanderSpanish-language commentator[173]
CJ,Catherine Perry,Manager of Miro[174]
Don Callis,Donald Callis,Manager of The Don Callis Family Backstage consultant
"Jake ""The Snake"" Roberts",Aurelian Smith Jr.,Manager of Lance Archer and the RighteousCoach[175]
José the Assistant,José García,Manager of La Facción Ingobernable
Karen Jarrett,Karen Jarrett,Manager of Jeff Jarrett
Maria Kanellis-Bennett[104],Mary Kanellis-Bennett,Manager of Cole Karter and Griff Garrison
Mother Wayne,Shayna Wayne,"Manager of ""The Prodigy"" Nick Wayne"
"Mr. Brodie ""Negative 1"" Lee Jr.[176]",Brodie Huber,Trainee[177]
Prince Nana,Nana Osei Bandoh,Manager of The Mogul Embassy
Ric Flair,Richard Fleihr,Manager of Sting[178]
"""Smart"" Mark Sterling",Mark Rattelle,Manager of The Varsity AthletesOccasional wrestler
Sonjay Dutt,Retesh Bhalla,"Vice President of Production and Creative Coordination[179]Manager of Jay Lethal, Jeff Jarrett, and Satnam SinghOccasional wrestler"
Stokely Hathaway,Stokely Hathaway,[180]
,,
Aubrey Edwards[181],Brittany Aubert,Co-host of AEW UnrestrictedProject coordinator[182]
Brandon Martinez,Brandon Martinez,[183]
Bryce Remsburg[184],Bryce Remsburg,Travel coordinator[185]
Mike Posey[186],Michael Posey,
Paul Turner[187],Paul Turner,Senior referee[188]
Rick Knox[189],Richard Knox,
Stephon Smith,Stephon Smith,[190]
,,
Alain Mistrangélo,Alain Mistrangélo,French-language commentator[191]
Alex Marvez,Alex Marvez,Backstage interviewer[44]
Alvaro Riojas,Unknown,Spanish-language commentator
Dasha Gonzalez,Dasha Kuret,Spanish-language commentatorBackstage interviewerRing announcer for Collision
Excalibur,Marc Letzmann,Play-by-play commentator for Dynamite and Rampage[192]Pay-per-view commentatorMarketing manager[193]
Günter Zapf,Günter Zapf,German-language commentator[194]
Ian Riccaboni,Ian Riccaboni,"Play-by-play commentator for Ring of Honor WrestlingBackup announcer for Collision, Dynamite, and Rampage[195]"
Jim Ross,James Ross,Commentator for CollisionPay-per-view commentatorSenior advisor[196]
Justin Roberts,Justin Roberts,"Ring announcer for Dynamite, Rampage, and pay per views[192]"
Kevin Kelly,Kevin Foote,Commentator for CollisionPay-per-view commentator[197]
Lexy Nair,Alexandra Nair,Backstage interviewerHost of Outside The Ring[198]
Mark Henry,Mark Henry,Interviewer for Rampage[199]CoachTalent scout
Mike Ritter,Michael Ritter,German-language commentator[194]
Nigel McGuinness,Steven Haworth,Commentator for CollisionPay-per-view commentator[200]
Norbert Feuillan,Norbert Feuillan,French-language commentator[191]
Oliver Copp,Oliver Copp,German-language commentator[194]
Renee Paquette[201],Renee Paquette,Backstage InterviewerProducer[202]
RJ City,RJ Skinner,Backstage interviewerHost of Hey! (EW)
